time,Thv,sigma,run,H,V
3390.0,0.44999998807907104,0.0,1,8850.5,57035.9921875
3420.0,0.44999998807907104,0.0,1,8850.5,57035.9921875
3450.0,0.44999998807907104,0.0,1,8850.5,57035.9921875
3480.0,0.44999998807907104,0.0,1,8850.5,57035.9921875
3510.0,0.44999998807907104,0.0,1,8850.5,57035.9921875
3540.0,0.44999998807907104,0.0,1,8850.5,57035.9921875
3570.0,0.44999998807907104,0.0,1,8850.5,57035.9921875
3600.0,0.44999998807907104,0.0,1,8850.5,57035.9921875
3630.0,0.44999998807907104,0.0,1,8850.5,57035.9921875
3650.0,0.44999998807907104,0.0,1,8850.5,57035.9921875
0.0,0.47534722089767456,0.0,1,0.0,10.0
30.0,0.47534722089767456,0.0,1,8240.4267578125,41907.01171875
60.0,0.47534722089767456,0.0,1,8907.3046875,57172.12109375
90.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
120.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
150.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
180.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
210.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
240.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
270.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
300.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
330.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
360.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
390.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
420.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
450.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
480.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
510.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
540.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
570.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
