H,V,t,R0
2.5479638435016836e-5,0.00040231008025221835,1880.634400031326,0.95
1.740101582037289e-5,0.0002747528812342577,1956.443320022781,0.95
1.1525292022848473e-5,0.00018197829503611922,2038.2576766397513,0.95
7.335457753518234e-6,0.00011582301713596976,2127.852522710595,0.95
4.430259374174727e-6,6.995146379364826e-5,2227.6319545553542,0.95
2.4936382748290804e-6,3.9373235915456845e-5,2340.9823310366073,0.95
1.2732568774817e-6,2.0104055959468883e-5,2472.8599133416833,0.95
5.646478760089416e-7,8.915492778926424e-6,2630.9517279293696,0.95
2.0115826333591787e-7,3.176183105278454e-6,2828.108312422156,0.95
4.8716070067980323e-8,7.692011063333138e-7,3088.0460264757544,0.95
4.60721954950752e-9,7.274557183405194e-8,3461.597991904396,0.95
1.7258065546465438e-9,2.7249577178655253e-8,3650.0,0.95
0.0,10.0,0.0,1.25
0.000998940392470377,9.99041276085579,0.009599035673640297,1.25
0.010883679383034417,9.89582790957705,0.10558939241004327,1.25
0.05340296470199688,9.495264285265163,0.5407435628794605,1.25
0.12640699602708466,8.835954875886934,1.3871175190442586,1.25
0.20997565811446775,8.141142016189313,2.559988465289776,1.25
0.2948450019874123,7.534539083069003,4.076396141924303,1.25
0.3755188938519762,7.107435199614679,5.9849076740554485,1.25
0.4486236836054159,6.925077793172893,8.310044450131915,1.25
0.515619913500495,7.010218820750258,11.10062307939188,1.25
0.5811736157254487,7.364190548465186,14.417390523911513,1.25
0.6526873643611878,7.992739746008223,18.365063635119775,1.25
0.7396439857109626,8.931207537662402,23.086792709687163,1.25
0.8553885170542898,10.279972935716392,28.80977673540244,1.25
1.021389472168483,12.259770100720063,35.88318836999205,1.25
1.2791128023545453,15.349678982703695,44.88434239986849,1.25
1.7225008301022169,20.669802255689653,56.79789961740711,1.25
2.5879026894766457,31.054247925017613,73.09961305335594,1.25
4.247139410341407,50.96433609273901,92.95197352185792,1.25
7.421490719443305,89.05811001126858,115.3480304103071,1.25
13.226584195910569,158.782320236107,138.59847169467776,1.25
21.86010920109435,262.72654703834854,158.9108936851026,1.25
33.39961877460001,401.5387754667501,176.13043281513046,1.25
48.787039079731834,586.012338222607,191.61575140317282,1.25
70.19722464423502,842.480632181273,206.63936148291123,1.25
101.27406092816433,1214.7505735386167,222.0055726094149,1.25
147.21050985357954,1764.8167889221882,238.04001040476595,1.25
214.40383642423055,2568.730064102597,254.70641000669548,1.25
309.12481057979244,3700.416311941313,271.7540994826852,1.25
435.09344391932024,5202.375807769485,288.8779135518879,1.25
590.8610537625394,7054.428587515899,305.84240036453815,1.25
768.614126224988,9160.271403051478,322.53380488684235,1.25
969.2383907901569,11519.320434486912,340.05110316700865,1.25
1106.2053431815023,13127.31615200919,352.1981863353743,1.25
1289.4899276492617,15270.309299358134,369.8293165780559,1.25
1419.1306990374778,16778.98575255273,384.4389275534384,1.25
1550.2979140817713,18300.149174575803,402.9657650871943,1.25
1640.5130494918155,19342.65328302868,420.27087953928753,1.25
1715.1376655223698,20202.877226639015,441.0149142656819,1.25
1763.726701699002,20761.81710960267,462.3227280303671,1.25
1797.8643678891096,21153.998452605327,487.8934478177968,1.25
1817.8181316472849,21383.020376210665,516.525884210757,1.25
1829.212739380531,21513.736636240308,552.3586963937682,1.25
1834.416205328128,21573.413246040298,596.8319583757923,1.25
1836.3374516220904,21595.44482278564,658.599133365461,1.25
1836.7292074225347,21599.93708795241,751.4502358831617,1.25
1836.7355715536378,21600.010064107213,930.6068064443024,1.25
1836.734566453578,21599.998538859945,1823.1449763458213,1.25
1836.734704925804,21600.000126687442,3650.0,1.25
0.0,10.0,0.0,4.0
0.000999806252190613,9.999063340528089,0.0009374062552554254,4.0
0.010987589537813224,9.98977881072846,0.01031146880780968,4.0
0.10987113173060405,9.905059542428699,0.1040520943333522,4.0
0.39954006110081697,9.735565309477868,0.3878317266713422,4.0
0.8599475871341361,9.724683929190068,0.8616271930559684,4.0
1.4445378054397975,10.18270761795915,1.482375006288597,4.0
2.2344584235623373,11.548161143202996,2.298680507634274,4.0
3.356915039386739,14.489826047192873,3.3210898798325865,4.0
5.1612619347740925,20.36055044859754,4.5982874093723565,4.0
8.396309061172134,31.951804525513257,6.160343518788454,4.0
14.669418826730682,55.21162851812544,8.003700774235165,4.0
27.374680553595,102.78379117075902,10.0831044728932,4.0
54.41192273263214,204.31853076384775,12.381449688001746,4.0
114.3778651144219,430.04637865406465,14.87854422030238,4.0
251.87006900285422,950.0109717695965,17.558151762228498,4.0
571.7741535407636,2173.078470581009,20.406285312223872,4.0
1295.3139071188145,5013.38326268259,23.41066547141706,4.0
2725.7606947572754,10991.72520289139,26.532122032283507,4.0
4815.908410925043,21000.77620333035,29.723427491705436,4.0
6912.511799822754,34207.92293680738,33.34731843371367,4.0
7954.627565953253,44414.534387814114,36.96177685536401,4.0
8291.81571758317,49513.49878072975,39.89580139871392,4.0
8446.791108280593,52787.60375448694,43.20927911207271,4.0
8514.31876054166,54541.43192114907,46.65659368360308,4.0
8547.371121301492,55509.71348872486,50.699932845711515,4.0
8562.06643648988,55965.889962872556,55.307553352224915,4.0
8567.69682176466,56154.811075299585,60.529993364119946,4.0
8568.821644523166,56221.672407218044,66.04823197973428,4.0
8567.881986297962,56244.441662884274,71.45771885706519,4.0
8566.876333048505,56252.620835297625,76.58446034458984,4.0
8566.904794948292,56254.89203251372,81.47125120159919,4.0
8567.53754087576,56254.85139214482,86.23853962701186,4.0
8568.1292424652,56254.33649427949,90.99117760252913,4.0
8568.464572735493,56253.97858796939,95.78583546132926,4.0
8568.566443622085,56253.87102830646,100.63489692285111,4.0
8568.520699376686,56253.94271277428,105.522902330319,4.0
8568.416333087613,56254.08858218331,110.4260581523129,4.0
8568.322491245559,56254.21926888242,115.3259151892366,4.0
8572.06436845036,56249.157864716304,125.10295574110243,4.0
8571.297620740315,56250.174668368694,137.790655855104,4.0
8571.450083261392,56249.97131765139,162.73485132617364,4.0
8571.42651190636,56250.00274397502,218.6725904576557,4.0
8571.428646710661,56249.99990001001,388.85063379048086,4.0
8571.428570821909,56250.00000079689,1208.0937137401584,4.0
8571.428571430228,56249.99999999791,3650.0,4.0
0.0,10.0,0.0,6.5
0.0009998644730248168,9.999645278397663,0.0003549940861664943,6.5
0.01099461170200386,9.996128024080845,0.0039049349478314376,6.5
0.110563891596005,9.963940214347089,0.039404343564480866,6.5
0.5165821109807042,9.887449270599905,0.18640114045058945,6.5
1.2700035940612782,9.985177950232865,0.4652695922989579,6.5
2.313865399035745,10.62408892395708,0.8505387455623903,6.5
3.7735305194024864,12.33437690410143,1.3528993903284856,6.5
5.991204413361332,16.073275281924627,1.9918481269158708,6.5
9.725300276591804,23.69136088540318,2.780910335779728,6.5
16.618168910839184,38.98088884866153,3.720952506244673,6.5
30.15590378206006,69.92175863365773,4.795584565067524,6.5
58.24526357473968,134.73630177834914,5.994063787761941,6.5
119.2575526355408,276.1452516581083,7.3060612107800385,6.5
256.74358800808267,596.6770668825618,8.722108327129096,6.5
573.0952521299272,1343.7655547063268,10.233849073707058,6.5
1290.16917352745,3090.136382610351,11.83351062940414,6.5
2752.949240376682,6924.9910005587035,13.501233275374151,6.5
5025.168715206794,13952.026933837678,15.197306270196801,6.5
7416.807162498811,24409.156856990492,17.032349480124285,6.5
8756.685024851435,35608.28056537341,19.046911002767146,6.5
9086.576327812056,41431.50273289158,20.379921300355154,6.5
9246.663323644836,46682.36193961871,21.989464594970624,6.5
9317.78634865114,50250.51100903172,23.5358205826783,6.5
9361.64090385891,53128.60670040985,25.360506059868285,6.5
9388.070481618164,55135.461498887635,27.3278548177104,6.5
9404.075392964787,56497.36439452897,29.47799580110328,6.5
9412.739776599276,57343.791188354255,31.701912522492226,6.5
9416.755061631478,57840.76073946915,33.88876667591922,6.5
9418.820440958507,58128.81315801161,35.98334469756668,6.5
9420.621970023225,58299.331209692085,37.994628716375736,6.5
9422.314102946642,58403.562536696205,39.96051517335927,6.5
9423.600948278041,58468.930958271165,41.91717681508762,6.5
9424.405022523979,58510.42915172638,43.885938978545,6.5
9424.817142044867,58536.797161211114,45.872889772241265,6.5
9424.971299665096,58553.46852285738,47.87375705057943,6.5
9424.991533576496,58563.9459613447,49.88061325416771,6.5
9424.97193952947,58570.49817914708,51.88685619120184,6.5
9424.964949821562,58574.58081202239,53.88931798245088,6.5
9429.266486838646,58577.04715731144,57.88651226774388,6.5
9428.415351605201,58579.25815669322,63.066874480562525,6.5
9428.59591523581,58579.869065167186,73.2377563401918,6.5
9428.569070247908,58579.88309410441,95.97197196327423,6.5
9428.571514982103,58579.881540023925,164.98354565542246,6.5
9428.571427904635,58579.881661577085,495.48398346445646,6.5
9428.571428571746,58579.881656775644,3650.0,6.5
