gamma,sigma,prob_end_mean,prob_end_25,prob_end_75,prob_out10_mean,prob_out10_25,prob_out10_75,prob_out100_mean,prob_out100_25,prob_out100_75,max_cases_all_mean,max_cases_all_25,max_cases_all_75,num_cases_mean,num_cases_25,num_cases_75,end_time_mean,end_time_25,end_time_75,time_max_mean,time_max_25,time_max_75
4.0,0.22,0.9040000000000001,0.89,0.9175,0.9040000000000001,0.89,0.9175,0.9040000000000001,0.89,0.9175,4606.719169168751,4512.493067221111,4698.544804921716,1084.6359782819507,1054.2641843996366,1100.171308647456,3307.318,3256.05,3356.745,1835.637,1778.1975,1875.8825
4.0,0.24,0.89,0.88,0.8975,0.89,0.88,0.8975,0.89,0.88,0.8975,4692.284695342032,4638.712352312632,4724.290876627725,970.4267140983153,939.4292196285221,1021.3354994420694,3254.832,3218.37,3282.2275,1917.214,1848.33,1959.865
4.0,0.26,0.834,0.8225,0.84,0.834,0.8225,0.84,0.834,0.8225,0.84,4679.603934984513,4639.514184879028,4723.965360273081,902.8399445251368,866.4084653120215,937.8065277135825,3053.6780000000003,3012.6549999999997,3074.9075000000003,1867.176,1854.25,1893.06
4.0,0.28,0.859,0.8425,0.87,0.8720000000000001,0.86,0.8875,0.859,0.8425,0.87,4938.238635771383,4830.652341749987,5023.606552615455,1119.0533080834698,1068.5669313937701,1195.475431804366,3143.4369999999994,3085.19,3182.835,1802.468,1767.4475,1852.3575
4.0,0.3,0.796,0.7725,0.82,0.8140000000000001,0.79,0.8474999999999999,0.796,0.7725,0.82,4769.651125758533,4660.234358420473,4917.415195420899,713.6705203813997,655.697629109884,796.8897281213758,2921.0739999999996,2838.7,3007.6,1757.5099999999998,1697.9575,1822.1374999999998
4.0,0.32,0.7529999999999999,0.7424999999999999,0.76,0.804,0.8,0.81,0.76,0.745,0.77,4555.605635341601,4484.939440481091,4606.746297758931,859.8395703502478,814.6047553657115,894.2419744921045,2775.233,2739.855,2799.09,1705.2559999999999,1688.8775,1717.3625000000002
4.0,0.34,0.79,0.7725,0.8075000000000001,0.835,0.83,0.84,0.79,0.7725,0.8075000000000001,5011.1026358606305,4904.162171647236,5117.731010171501,853.2670675639649,827.0975866745232,892.3558860354022,2903.2529999999997,2844.3325,2959.7999999999997,1687.3290000000002,1630.5675,1722.645
4.0,0.36,0.752,0.725,0.78,0.792,0.78,0.8175,0.752,0.725,0.78,4887.9887960764,4698.4733330602485,5042.694607905329,437.4870926323266,373.49451699737494,504.1723261080669,2762.302,2667.5075,2862.3875,1625.944,1523.1924999999999,1712.5149999999999
4.0,0.38,0.674,0.64,0.7,0.747,0.7324999999999999,0.7575000000000001,0.71,0.6924999999999999,0.7275,4453.917628392291,4312.592023830178,4558.150995047421,512.8687734844539,483.60661078185547,579.1143242459177,2529.1839999999997,2424.875,2599.8149999999996,1516.666,1438.4375,1563.7725
4.0,0.4,0.615,0.61,0.6275,0.6890000000000001,0.6825,0.7,0.637,0.625,0.6475,4160.409909138926,4052.0130290809684,4255.196896661978,425.7871949659934,409.51602942165357,455.8991165579694,2306.5809999999997,2279.645,2342.465,1387.604,1338.31,1409.095
