Thv,sigma,max_cases_all_mean,max_cases_all_25,max_cases_all_75,max_cases_end_mean,max_cases_out_mean,end_time_mean,end_time_25,end_time_75,end_time_out_mean
0.08888888888888889,0.04,5864.177920661862,5864.177920661862,5864.177920661862,6444.041132852973,1.1165529517429178,3324.02,3324.02,3324.02,28.0
0.35555555555555557,0.04,9133.294221483555,9133.294221483555,9133.294221483555,9133.294221483555,NaN,3650.0,3650.0,3650.0,NaN
0.9388888888888889,0.04,10000.0,10000.0,10000.0,10000.0,NaN,3650.0,3650.0,3650.0,NaN
0.0125,0.06,1.220569615017903,1.220569615017903,1.220569615017903,NaN,1.220569615017903,64.68,64.68,64.68,64.68
0.020055555555555556,0.06,2.402902835150397,2.402902835150397,2.402902835150397,NaN,2.402902835150397,119.26,119.26,119.26,119.26
0.0245,0.06,177.47201808256142,177.47201808256142,177.47201808256142,870.2706858237073,4.2723511472749625,855.54,855.54,855.54,156.925
0.034722222222222224,0.06,1951.4844322359932,1951.4844322359932,1951.4844322359932,3048.0663157534373,2.0055282049831336,2359.53,2359.53,2359.53,65.36111111111111
0.08888888888888889,0.06,6513.86619056214,6513.86619056214,6513.86619056214,6856.640860735085,1.147457276202839,3468.79,3468.79,3468.79,25.8
0.35555555555555557,0.06,9343.359177996213,9343.359177996213,9343.359177996213,9343.359177996213,NaN,3650.0,3650.0,3650.0,NaN
0.9388888888888889,0.06,10000.0,10000.0,10000.0,10000.0,NaN,3650.0,3650.0,3650.0,NaN
0.0125,0.08,1.2361248711295578,1.2361248711295578,1.2361248711295578,NaN,1.2361248711295578,58.46,58.46,58.46,58.46
0.020055555555555556,0.08,2.169645722914923,2.169645722914923,2.169645722914923,NaN,2.169645722914923,102.05,102.05,102.05,102.05
0.0245,0.08,59.225789976622046,59.225789976622046,59.225789976622046,898.9636775816616,5.625499278428029,379.37,379.37,379.37,170.60638297872342
0.034722222222222224,0.08,1810.3378130689555,1810.3378130689555,1810.3378130689555,3479.8013902155344,1.7522711601611094,1926.79,1926.79,1926.79,59.979166666666664
0.08888888888888889,0.08,6716.434406607207,6716.434406607207,6716.434406607207,7221.859904766259,1.4956453512362071,3396.57,3396.57,3396.57,29.571428571428573
0.35555555555555557,0.08,9562.906684582145,9562.906684582145,9562.906684582145,9562.906684582145,NaN,3650.0,3650.0,3650.0,NaN
0.9388888888888889,0.08,10000.0,10000.0,10000.0,10000.0,NaN,3650.0,3650.0,3650.0,NaN
0.0125,0.1,1.447926867241045,1.447926867241045,1.447926867241045,NaN,1.447926867241045,54.16,54.16,54.16,54.16
0.020055555555555556,0.1,3.215489725878428,3.215489725878428,3.215489725878428,NaN,3.215489725878428,99.67,99.67,99.67,99.67
0.0245,0.1,72.6420016556688,72.6420016556688,72.6420016556688,910.986895617636,28.518586183986308,405.97,405.97,405.97,235.23157894736843
0.034722222222222224,0.1,1893.072386809531,1893.072386809531,1893.072386809531,3860.4603665944596,2.836876820089367,1822.73,1822.73,1822.73,67.11764705882354
0.08888888888888889,0.1,7194.932520732052,7194.932520732052,7194.932520732052,7573.534676863345,1.4915542374684805,3468.25,3468.25,3468.25,15.0
0.35555555555555557,0.1,9760.398267334209,9760.398267334209,9760.398267334209,9760.398267334209,NaN,3650.0,3650.0,3650.0,NaN
0.9388888888888889,0.1,10000.0,10000.0,10000.0,10000.0,NaN,3650.0,3650.0,3650.0,NaN
0.0125,0.12,1.3629649749920965,1.3629649749920965,1.3629649749920965,NaN,1.3629649749920965,53.39,53.39,53.39,53.39
0.020055555555555556,0.12,3.271277993424293,3.271277993424293,3.271277993424293,NaN,3.271277993424293,103.68,103.68,103.68,103.68
0.0245,0.12,29.506879113843546,29.506879113843546,29.506879113843546,603.4512140103084,23.70946158963683,221.7,221.7,221.7,187.07070707070707
